City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saskylakh,76,RU,1540091132,85,71.97,114.09,13.91,5.17
1,alghero,8,IT,1540090200,93,40.56,8.32,60.8,3.36
2,georgetown,75,GY,1540087200,100,6.8,-58.16,75.2,2.24
3,broome,0,GB,1540090560,100,52.47,1.45,50.0,5.82
4,tiksi,68,RU,1540091083,85,71.64,128.87,19.18,5.17
5,alice springs,0,AU,1540090800,13,-23.7,133.88,82.4,6.93
6,tuktoyaktuk,75,CA,1540087200,92,69.44,-133.03,21.2,8.05
7,ushuaia,90,AR,1540087200,75,-54.81,-68.31,41.0,20.8
8,loralai,0,PK,1540091675,35,30.37,68.6,39.11,3.15
9,barrow,56,AR,1540091676,60,-38.31,-60.23,57.38,10.2
10,deputatskiy,8,RU,1540091676,79,69.3,139.9,11.21,6.62
11,airai,20,TL,1540091249,51,-8.93,125.41,84.83,1.48
12,tromso,90,NO,1540090200,75,69.65,18.96,44.6,25.28
13,north myrtle beach,1,US,1540090560,88,33.83,-78.68,71.6,4.7
14,rikitea,68,PF,1540091677,100,-23.12,-134.97,75.56,10.54
15,kedrovyy,0,RU,1540089000,100,56.17,91.82,24.8,4.05
16,bredasdorp,36,ZA,1540087200,62,-34.53,20.04,57.2,14.99
17,poyarkovo,0,RU,1540091678,45,49.62,128.65,51.98,8.19
18,leninskoye,90,RU,1540089000,93,54.82,82.85,35.6,20.13
19,albany,90,US,1540090440,76,42.65,-73.75,48.2,6.93
20,saint george,20,GR,1540090200,87,39.45,22.34,57.2,2.24
21,butaritari,20,KI,1540091083,100,3.07,172.79,84.38,3.71
22,san patricio,44,PY,1540091245,71,-26.98,-56.83,72.5,5.73
23,toma,40,JP,1540087200,67,43.82,142.6,59.0,5.82
24,saint-philippe,75,CA,1540090500,73,45.36,-73.48,42.8,3.36
25,avarua,75,CK,1540087200,69,-21.21,-159.78,75.2,10.29
26,huilong,92,CN,1540091680,100,28.89,110.18,55.13,3.04
27,shache,32,CN,1540091681,66,38.42,77.24,40.15,3.04
28,nishihara,1,JP,1540090560,22,35.74,139.53,69.8,8.05
29,bethel,1,US,1540090380,86,60.79,-161.76,37.4,10.29
30,mataura,8,NZ,1540091086,72,-46.19,168.86,70.97,5.95
31,cape town,0,ZA,1540087200,58,-33.93,18.42,57.2,8.05
32,paredon,76,BO,1540091683,97,-18.93,-65.16,48.97,1.92
33,hermanus,20,ZA,1540090820,52,-34.42,19.24,56.17,10.87
34,tambovka,76,UA,1540091683,86,46.93,35.45,49.15,2.93
35,cabo san lucas,5,MX,1540086540,83,22.89,-109.91,78.8,8.19
36,college,90,US,1540090680,93,64.86,-147.8,35.6,3.36
37,srednekolymsk,32,RU,1540091684,76,67.46,153.71,15.08,3.15
38,kapaa,40,US,1540086960,61,22.08,-159.32,86.0,16.11
39,jamestown,0,AU,1540091685,38,-33.21,138.6,71.42,6.62
40,pindi gheb,0,PK,1540091685,65,33.24,72.27,62.83,3.27
41,numan,0,NG,1540091685,77,9.46,12.04,72.41,2.71
42,pisco,0,PE,1540087200,77,-13.71,-76.2,64.4,3.36
43,hami,20,CN,1540091154,55,42.84,93.51,42.22,4.16
44,yulara,0,AU,1540087200,14,-25.24,130.99,82.4,9.17
45,qaanaaq,20,GL,1540091686,100,77.48,-69.36,2.62,14.23
46,nago,20,IT,1540090500,65,45.88,10.89,55.4,4.7
47,lusambo,48,CD,1540091688,96,-4.97,23.44,71.06,1.59
48,pavlodar,90,KZ,1540089000,76,52.28,76.96,48.2,20.13
49,pervomayskiy,0,RU,1540091690,91,53.24,40.29,33.13,7.96
50,avera,1,US,1540089300,77,33.19,-82.53,66.2,9.17
51,khatanga,56,RU,1540091692,80,71.98,102.47,4.1,7.96
52,upernavik,68,GL,1540091692,100,72.79,-56.15,23.5,12.77
53,hilo,75,US,1540086960,83,19.71,-155.08,75.2,11.21
54,chuy,8,UY,1540091427,93,-33.69,-53.46,52.3,6.85
55,provideniya,0,RU,1540091115,100,64.42,-173.23,38.39,10.65
56,punta arenas,0,CL,1540087200,65,-53.16,-70.91,44.6,19.46
57,hofn,0,IS,1540091694,98,64.25,-15.21,43.34,42.52
58,conceicao do araguaia,8,BR,1540091627,95,-8.26,-49.26,75.07,2.93
59,comodoro rivadavia,0,AR,1540087200,54,-45.87,-67.48,53.6,5.82
60,hobart,20,AU,1540089000,48,-42.88,147.33,60.8,11.41
61,carnarvon,36,ZA,1540090861,34,-30.97,22.13,45.32,18.48
62,lorengau,36,PG,1540091163,100,-2.02,147.27,79.93,4.61
63,lasa,0,CY,1540090800,77,34.92,32.53,68.0,6.93
64,pevek,88,RU,1540091096,100,69.7,170.27,26.42,8.63
65,jalu,0,LY,1540091225,95,29.03,21.55,67.37,9.75
66,kaitangata,8,NZ,1540090891,72,-46.28,169.85,69.58,5.17
67,plettenberg bay,0,ZA,1540091696,100,-34.05,23.37,58.1,19.6
68,melville,75,CA,1540087200,40,50.93,-102.81,37.4,11.41
69,narsaq,0,GL,1540090200,52,60.91,-46.05,19.4,6.93
70,abancay,48,PE,1540091697,100,-13.64,-72.88,43.25,1.92
71,goundam,68,ML,1540091697,35,16.42,-3.66,79.79,8.19
72,naryan-mar,0,RU,1540091698,99,67.67,53.09,18.55,3.94
73,cabedelo,75,BR,1540087200,83,-6.97,-34.84,75.2,2.24
74,chester,75,GB,1540090200,93,53.19,-2.89,50.0,3.36
75,atuona,76,PF,1540091699,100,-9.8,-139.03,78.17,16.8
76,mahebourg,40,MU,1540087200,88,-20.41,57.7,71.6,2.24
77,banda aceh,32,ID,1540091699,81,5.56,95.32,82.18,3.15
78,dingle,20,PH,1540091700,78,11.0,122.67,85.1,10.42
79,ponta do sol,8,BR,1540091265,68,-20.63,-46.0,61.88,10.2
80,cherskiy,68,RU,1540091191,89,68.75,161.3,13.15,4.83
81,longyearbyen,40,NO,1540086600,99,78.22,15.63,41.0,19.46
82,santa fe,88,AR,1540091539,48,-31.62,-60.7,67.01,10.98
83,bilibino,80,RU,1540091703,73,68.06,166.44,11.48,3.15
84,kiunga,12,PG,1540091704,80,-6.12,141.3,83.03,2.82
85,meulaboh,8,ID,1540091704,100,4.14,96.13,82.13,3.38
86,vaini,8,IN,1540091705,68,15.34,74.49,75.47,3.38
87,cayenne,0,GF,1540089000,94,4.94,-52.33,77.0,3.36
88,rapid valley,1,US,1540090560,54,44.06,-103.15,60.8,10.29
89,thompson,90,CA,1540090800,63,55.74,-97.86,28.4,8.05
90,falkenberg,75,DE,1540090800,75,49.86,12.22,44.6,2.24
91,bluff,0,AU,1540091707,40,-23.58,149.07,91.67,6.96
92,yellowknife,90,CA,1540090800,82,62.45,-114.38,35.6,12.75
93,tandil,88,AR,1540091708,61,-37.33,-59.14,55.67,12.1
94,udachnyy,88,RU,1540091198,81,66.42,112.4,30.47,4.94
95,marawi,56,PH,1540091709,88,8.0,124.29,77.27,2.26
96,haren,90,NL,1540090500,87,53.17,6.61,53.6,5.82
